corpus,name,schema,constructor,positive_nodes
Coq root values,inclusion_exclusion,all normalized constructors,Cast,58
Coq root values,inclusion_exclusion,all normalized constructors,Coq:Sort,2
Coq root values,inclusion_exclusion,all normalized constructors,Coq:CaseBranches,76
Coq root values,inclusion_exclusion,all normalized constructors,Coq:Case,86
Coq root values,inclusion_exclusion,all normalized constructors,Let,73
Coq root values,inclusion_exclusion,all normalized constructors,Coq:Functions,10
Coq root values,inclusion_exclusion,all normalized constructors,Coq:Fix,10
Coq root values,inclusion_exclusion,shared binary core,App,2290
Coq root values,inclusion_exclusion,shared binary core,Lam,248
Coq root values,inclusion_exclusion,shared binary core,Pi,34
Coq root values,inclusion_exclusion,shared binary core,Let,73
Coq root values,is_hexamy,all normalized constructors,App,87
Coq root values,is_hexamy,all normalized constructors,Let,3
Coq root values,is_hexamy,all normalized constructors,Lam,6
Coq root values,is_hexamy,shared binary core,App,87
Coq root values,is_hexamy,shared binary core,Let,3
Coq root values,is_hexamy,shared binary core,Lam,6
Coq root values,isosceles_conga,all normalized constructors,App,99
Coq root values,isosceles_conga,all normalized constructors,Cast,1
Coq root values,isosceles_conga,all normalized constructors,Lam,8
Coq root values,isosceles_conga,shared binary core,App,99
Coq root values,isosceles_conga,shared binary core,Lam,8
Coq root values,konigsberg_bridges,all normalized constructors,App,44586
Coq root values,konigsberg_bridges,all normalized constructors,Lam,10313
Coq root values,konigsberg_bridges,all normalized constructors,Coq:Sort,1
Coq root values,konigsberg_bridges,all normalized constructors,Coq:CaseMatch,169
Coq root values,konigsberg_bridges,all normalized constructors,Coq:CaseBranches,1270
Coq root values,konigsberg_bridges,all normalized constructors,Coq:Case,1660
Coq root values,konigsberg_bridges,all normalized constructors,Let,671
Coq root values,konigsberg_bridges,all normalized constructors,Pi,8956
Coq root values,konigsberg_bridges,shared binary core,App,44586
Coq root values,konigsberg_bridges,shared binary core,Lam,10313
Coq root values,konigsberg_bridges,shared binary core,Let,671
Coq root values,konigsberg_bridges,shared binary core,Pi,8956
Coq root values,mul_adj_mx,all normalized constructors,App,118
Coq root values,mul_adj_mx,all normalized constructors,Lam,12
Coq root values,mul_adj_mx,shared binary core,App,118
Coq root values,mul_adj_mx,shared binary core,Lam,12
Coq root values,nat_ind,all normalized constructors,Coq:Sort,1
Coq root values,nat_ind,all normalized constructors,Pi,4
Coq root values,nat_ind,all normalized constructors,App,12
Coq root values,nat_ind,all normalized constructors,Lam,6
Coq root values,nat_ind,all normalized constructors,Coq:CaseMatch,1
Coq root values,nat_ind,all normalized constructors,Coq:CaseBranches,1
Coq root values,nat_ind,all normalized constructors,Coq:Case,1
Coq root values,nat_ind,all normalized constructors,Coq:Functions,1
Coq root values,nat_ind,all normalized constructors,Coq:Fix,1
Coq root values,nat_ind,shared binary core,Pi,4
Coq root values,nat_ind,shared binary core,App,12
Coq root values,nat_ind,shared binary core,Lam,6
Coq root values,postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,all normalized constructors,App,28
Coq root values,postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,all normalized constructors,Lam,7
Coq root values,postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,shared binary core,App,28
Coq root values,postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,shared binary core,Lam,7
Coq root values,pytha_thm3,all normalized constructors,App,470
Coq root values,pytha_thm3,all normalized constructors,Lam,50
Coq root values,pytha_thm3,all normalized constructors,Cast,2
Coq root values,pytha_thm3,all normalized constructors,Let,1
Coq root values,pytha_thm3,shared binary core,App,470
Coq root values,pytha_thm3,shared binary core,Lam,50
Coq root values,pytha_thm3,shared binary core,Let,1
Coq root values,pythagoras,all normalized constructors,App,891
Coq root values,pythagoras,all normalized constructors,Lam,170
Coq root values,pythagoras,all normalized constructors,Let,23
Coq root values,pythagoras,all normalized constructors,Cast,2
Coq root values,pythagoras,all normalized constructors,Pi,20
Coq root values,pythagoras,shared binary core,App,891
Coq root values,pythagoras,shared binary core,Lam,170
Coq root values,pythagoras,shared binary core,Let,23
Coq root values,pythagoras,shared binary core,Pi,20
Coq root values,reals_not_countable,all normalized constructors,App,21
Coq root values,reals_not_countable,all normalized constructors,Pi,2
Coq root values,reals_not_countable,all normalized constructors,Lam,3
Coq root values,reals_not_countable,shared binary core,App,21
Coq root values,reals_not_countable,shared binary core,Pi,2
Coq root values,reals_not_countable,shared binary core,Lam,3
Coq root values,triangle,all normalized constructors,App,480
Coq root values,triangle,all normalized constructors,Lam,20
Coq root values,triangle,all normalized constructors,Let,18
Coq root values,triangle,all normalized constructors,Cast,8
Coq root values,triangle,all normalized constructors,Coq:Sort,1
Coq root values,triangle,all normalized constructors,Coq:CaseMatch,1
Coq root values,triangle,all normalized constructors,Coq:CaseBranches,1
Coq root values,triangle,all normalized constructors,Coq:Case,1
Coq root values,triangle,shared binary core,App,480
Coq root values,triangle,shared binary core,Lam,20
Coq root values,triangle,shared binary core,Let,18
Human Lean root values,banach_fixed_point_term,all normalized constructors,App,406
Human Lean root values,banach_fixed_point_term,all normalized constructors,Pi,4
Human Lean root values,banach_fixed_point_term,all normalized constructors,Lam,19
Human Lean root values,banach_fixed_point_term,all normalized constructors,Let,1
Human Lean root values,banach_fixed_point_term,shared binary core,App,406
Human Lean root values,banach_fixed_point_term,shared binary core,Pi,4
Human Lean root values,banach_fixed_point_term,shared binary core,Lam,19
Human Lean root values,banach_fixed_point_term,shared binary core,Let,1
Human Lean root values,basel_problem_term,all normalized constructors,App,1262
Human Lean root values,basel_problem_term,all normalized constructors,Lam,28
Human Lean root values,basel_problem_term,all normalized constructors,Pi,20
Human Lean root values,basel_problem_term,shared binary core,App,1262
Human Lean root values,basel_problem_term,shared binary core,Lam,28
Human Lean root values,basel_problem_term,shared binary core,Pi,20
Human Lean root values,bezout_gcd_term,all normalized constructors,App,194
Human Lean root values,bezout_gcd_term,all normalized constructors,Pi,1
Human Lean root values,bezout_gcd_term,all normalized constructors,Lam,4
Human Lean root values,bezout_gcd_term,all normalized constructors,Let,1
Human Lean root values,bezout_gcd_term,shared binary core,App,194
Human Lean root values,bezout_gcd_term,shared binary core,Pi,1
Human Lean root values,bezout_gcd_term,shared binary core,Lam,4
Human Lean root values,bezout_gcd_term,shared binary core,Let,1
Human Lean root values,binomial_theorem_term,all normalized constructors,App,19
Human Lean root values,binomial_theorem_term,all normalized constructors,Lam,5
Human Lean root values,binomial_theorem_term,shared binary core,App,19
