pair,source,side,tokens_scored,mean_nll,median_nll,p95_nll,claim_boundaries,mean_boundary_delta_nll,mean_boundary_excess_nll,mean_content_boundary_delta_nll,mean_content_boundary_excess_nll
pair_3da844f5,inequalities,a,349,2.2028860240508674,2.2305974243319433,4.6492406889883435,0,,,,
pair_3da844f5,inequalities,h,273,2.3410199265037583,2.325464542247539,5.3325207400927805,0,,,,
pair_3db79af4,cn_contest,a,427,2.6155924662065884,2.539262737861229,5.612355502721325,6,-0.7548745099709029,-0.8550787099110914,-0.6667592415464519,-0.7669634414866405
pair_3db79af4,cn_contest,h,406,2.6034259749729483,2.7612922001248688,5.567990137576213,6,-0.6861038137196142,-0.7179122036740241,-0.5245106717845297,-0.5563190617389396
pair_3e5837da,amc_aime,a,351,2.803031920767535,2.438072251304452,5.912840366758436,9,-0.26757661192290005,-0.4212749050100266,0.026775127360566357,-0.1269231657265602
pair_3e5837da,amc_aime,h,180,3.7950723003699824,2.826265560520083,12.014740253575134,0,,,,
pair_3e7604ad,aops_forum,a,141,2.870658073343772,2.490241549037615,6.946242857730409,2,-1.2055818386526325,-1.306839983629408,-0.6886012373258372,-0.7898593823026128
pair_3e7604ad,aops_forum,h,121,3.1268446228730693,2.715373461841083,6.418552643905105,0,,,,
pair_40400f26,math_test,a,180,2.4965854177061053,2.4028574056702556,5.244690457282832,2,-1.0553017143549015,-1.0596922567393643,-1.1227382151200231,-1.1271287575044862
pair_40400f26,math_test,h,473,2.9166084813007673,2.5621438603603055,6.598743752182692,6,-0.02010758745096967,-0.04249969935253703,0.10569060888640247,0.08329849698483512
pair_412ad836,number_theory,a,81,2.656903799594512,2.312547849113034,5.545424406315686,0,,,,
pair_412ad836,number_theory,h,76,2.5546829425175823,2.263164488601176,5.6143202124873515,0,,,,
pair_43cbe160,math_test,a,673,2.608410905743645,2.6666809837547714,5.0389629930713085,13,0.5017779680445659,0.5817742656766806,0.5980476147677453,0.67804391239986
pair_43cbe160,math_test,h,678,2.8925304418486117,2.721459105951588,6.13705862307999,11,-0.22206306284282104,-0.22079059049969604,0.10449191866498216,0.1057643910081071
pair_44418174,math_train,a,129,2.73234329769039,2.5389692660446066,5.819229686631432,2,-1.4679622566156887,-1.5715184807923768,-0.4179020357276293,-0.5214582599043174
pair_44418174,math_train,h,120,2.763120030070946,2.550038542216619,5.720067621409379,3,-0.522842593058734,-0.5799488496776972,-0.41202914407827235,-0.46913540069723564
pair_4453d7a8,olympiads,a,375,3.354655362724583,2.656161731280797,8.757879567307937,6,-0.33741949153023953,-0.40610456350752355,-0.48048469186082876,-0.5491697638381128
pair_4453d7a8,olympiads,h,155,3.6989394379967067,3.1750962270993965,11.164666418406656,0,,,,
pair_452bb14f,olympiads_ref,a,448,2.70559955274311,2.4676326462772304,4.922454812540096,11,-0.7160423953361085,-0.7693854068989416,-0.28821325237815654,-0.3415562639409898
